2022-12-01 00|32|4|45,100|27,300|95,000
2022-12-01 01|12|9|22,100|5,300|125,000
2022-12-01 02|24|1|37,500|21,200|171,000
2022-12-01 03|18|5|25,100|21,600|124,000
2022-12-01 04|37|2|39,700|22,300|381,000
2022-12-01 05|49|1|48,200|40,900|49,500
2022-12-01 06|15|3|152,000|890,100|950,100
2022-12-01 07|8|7|339,800|125,000|12,200
2022-12-01 08|43|8|12,400|123,200|228,000
2022-12-01 09|65|2|483,200|256,000|93,400
2022-12-01 10|7|9|12,700|51,200|61,200
2022-12-01 11|2|1|32,600|92,200|11,100
2022-12-01 12|9|8|90,900|6,400|27,700
2022-12-01 13|3|3|56,800|67,700|9,800
2022-12-01 14|11|2|48,700|5,200|38,000
2022-12-01 15|6|5|656,000|502,000|6,100
2022-12-01 16|51|7|83,800|43,200|65,400
2022-12-01 17|54|2|75,300|12,300|8,000
2022-12-01 18|31|1|659,000|651,000|54,200
2022-12-01 19|25|9|82,200|78,700|83,200
2022-12-01 20|33|5|336,000|43,600|74,800
2022-12-01 21|17|0|999,000|728,000|43,200
2022-12-01 22|18|3|36,600|32,200|61,000
2022-12-01 23|21|2|87,800|78,800|84,300
